  index  term                      df
   9966  snowstorm                  2
   9967  snyder                     1
   9968  soak                       4
   9969  soap                       2
   9970  soar                       7
   9971  sob                        3
   9972  sober                      2
   9973  soccer                     4
   9974  social                    33
   9975  socialist                 37
   9976  societi                   34
   9977  sock                       3
   9978  socotra                    2
   9979  socti                      1
   9980  sod                        1
   9981  sofa                       2
   9982  soft                      12
   9983  soften                     4
   9984  softli                     1
   9985  softwar                    7
   9986  soglasiy                   1
   9987  soil                       7
   9988  sojourn                    1
   9989  solanki                    1
   9990  solari                     1
   9991  sold                      19
   9992  soldier                   97
   9993  sole                       9
   9994  solemn                     4
   9995  solemnli                   1
   9996  solicit                    1
   9997  solid                     15
   9998  solidar                    6
   9999  solidifi                   2
  10000  solidli                    1
  10001  solitari                   2
  10002  solitud                    1
  10003  solomon                    1
  10004  solorzano                  2
  10005  solut                     14
  10006  solv                       6
  10007  somali                     3
  10008  somalia                    8
  10009  somber                     6
  10010  somberli                   2
  10011  somebodi                  22
  10012  somedai                    5
  10013  someplac                   1
  10014  somewhat                   9
  10015  somo                       1
  10016  son                      116
  10017  sonar                      2
  10018  song                       3
  10019  songwrit                   3
  10020  sonia                      3
  10021  sonni                      1
  10022  soon                      94
  10023  sooner                     5
  10024  sooooo                     1
  10025  soot                       1
  10026  sooti                      1
  10027  sop                        1
  10028  sophist                   22
  10029  sordid                     1
  10030  sore                       8
  10031  sorri                      4
  10032  sorrow                     3
  10033  sort                      53
  10034  sorti                      1
  10035  sosonati                   7
  10036  soto                       3
  10037  souc                       1
  10038  sought                    50
  10039  soul                       4
  10040  soumaila                   1
  10041  sound                     56
  10042  soundli                    3
  10043  soundproof                 1
  10044  soup                       4
  10045  sour                       2
  10046  sourc                     93
  10047  south                    124
  10048  southeast                 35
  10049  southeastern              10
  10050  southern                  67
  10051  southwest                 19
  10052  southwestern               6
  10053  souvenir                   2
  10054  sovereign                  2
  10055  sovereignti                8
  10056  soviet                    32
  10057  soxon                      1
  10058  sp                         2
  10059  space                     20
  10060  spaciou                    1
  10061  spain                     20
  10062  span                       7
  10063  spangl                     1
  10064  spaniard                   2
  10065  spaniel                    1
  10066  spanish                   20
  10067  spare                      9
  10068  spark                     18
  10069  spasski                    2
  10070  spat                       1
  10071  spate                      3
  10072  spatter                    1
  10073  speak                    132
  10074  speaker                   19
  10075  spear                      8
  10076  spearhead                  3
  10077  speci                      1
  10078  special                  111
  10079  specialist                21
  10080  specif                    55
  10081  specifi                   13
  10082  spectacl                   3
  10083  spectacular                4
  10084  spectat                    7
  10085  specter                    3
  10086  spectrum                   1
  10087  specul                    44
  10088  sped                       4
  10089  speech                    62
  10090  speed                     55
  10091  speedboat                  1
  10092  speedi                     1
  10093  speedskat                  1
  10094  spell                      9
  10095  spenc                      3
  10096  spencer                    6
  10097  spend                     57
  10098  spent                     74
  10099  sperl                      2
  10100  sphere                     1
  10101  spi                        7
  10102  spielberg                  1
  10103  spill                      4
  10104  spin                       5
  10105  spine                      2
  10106  spiral                     4
  10107  spire                      1
  10108  spirit                    18
  10109  spiritu                    3
  10110  spite                      5
  10111  splash                     2
  10112  splashdown                 1
  10113  splatter                   2
  10114  splint                     1
  10115  splinter                   3
  10116  splinz                     1
  10117  split                     23
  10118  spode                      1
  10119  spoil                     11
  10120  spoiler                    3
  10121  spokan                     1
  10122  spoke                     76
  10123  spoken                    23
  10124  spokesman                184
  10125  spokesmen                  4
  10126  spokeswoman               28
  10127  sponsor                   22
  10128  sponsorship                2
  10129  spontan                    4
  10130  spook                      1
  10131  sporad                     1
  10132  sport                     59
  10133  sportsmen                  1
  10134  spot                      33
  10135  spotlight                 14
  10136  spotti                     6
  10137  spous                      7
  10138  spragu                     1
  10139  sprai                      6
  10140  spraig                     1
  10141  sprain                     7
  10142  sprawl                     8
  10143  spread                    53
  10144  spree                      2
  10145  spring                    28
  10146  springfield                3
  10147  sprinkl                    2
  10148  sprint                     5
  10149  sprout                     2
  10150  spruanc                    1
  10151  sprung                     2
  10152  spun                       1
  10153  spur                       5
  10154  spy                       72
  10155  spymast                   19
  10156  squabbl                    1
  10157  squad                     23
  10158  squadron                   1
  10159  squall                     3
  10160  squander                   2
  10161  squar                     23
  10162  squat                      1
  10163  squatter                   3
  10164  squeak                     2
  10165  squeamish                  1
  10166  squeez                     7
  10167  squirrel                   2
  10168  squish                     1
  10169  sr                         3
  10170  srdic                      4
  10171  srebrenica                 1
  10172  srpska                     1
  10173  st                        63
  10174  stab                       9
  10175  stabenow                   5
  10176  stabil                    43
  10177  stabl                     21
  10178  stacei                     1
  10179  staci                      1
  10180  stack                      8
  10181  stadium                   13
  10182  staf                       3
  10183  staff                     70
  10184  staffer                    2
  10185  staffinr                   1
  10186  stafford                   4
  10187  stage                     49
  10188  stagger                    9
  10189  stai                     148
  10190  stain                      7
  10191  stair                      3
  10192  stairwel                   4
  10193  stake                     26
  10194  stalem                     6
  10195  stalin                     2
  10196  stalinist                  1
  10197  stalk                      2
  10198  stall                      4
  10199  stambol                    2
  10200  stambuk                    1
  10201  stamenkov                  2
  10202  stamina                    1
  10203  stammer                    1
  10204  stamped                    4
  10205  stanc                      5
  10206  stand                    129
  10207  standard                  19
  10208  standbi                    1
  10209  standoff                   8
  10210  standpoint                 1
  10211  standstil                  6
  10212  stanlei                    4
  10213  stapl                      1
  10214  star                      39
  10215  stare                      7
  10216  stark                      5
  10217  starkli                    1
  10218  starr                      1
  10219  starrr                     1
  10220  start                    160
  10221  startl                     2
  10222  starv                      1
  10223  stash                      1
  10224  stasio                     1
  10225  stat                       2
  10226  state                    587
  10227  statehous                  4
  10228  stateless                  1
  10229  statement                104
  10230  stateroom                  1
  10231  statesman                  3
  10232  statewid                   5
  10233  station                  121
  10234  stationeri                 1
  10235  statist                   15
  10236  statu                     18
  10237  statur                     4
  10238  statut                     5
  10239  staunch                    2
  10240  staunchest                 2
  10241  staunchli                  2
  10242  ste                        1
  10243  stead                      1
  10244  steadfast                  1
  10245  steadi                     4
  10246  steadili                   4
  10247  steal                     27
  10248  stealer                    1
  10249  stealth                    1
  10250  stealthi                   1
  10251  stealthier                 1
  10252  stealthili                 1
  10253  steam                      6
  10254  steami                     1
  10255  steel                     28
  10256  steenbuch                  1
  10257  steep                     15
  10258  steer                      8
  10259  stefan                     1
  10260  stefano                    5
  10261  stefanov                   4
  10262  steffi                     1
  10263  steinberg                  1
  10264  steindorff                 1
  10265  stell                      1
  10266  stellar                    1
  10267  stem                      15
  10268  stemmo                     1
  10269  stenberg                   1
  10270  stench                     2
  10271  step                     136
  10272  stephani                   1
  10273  stephanopoulo              1
  10274  stephen                    7
  10275  stepmoth                   1
  10276  steppingston               1
  10277  stepson                    1
  10278  stereo                     1
  10279  sterl                      3
  10280  stern                     14
  10281  sternavich                 1
  10282  sternli                    2
  10283  steskic                    1
  10284  stevan                     3
  10285  steve                     10
  10286  stevedor                   1
  10287  steven                     3
  10288  stevenson                  4
  10289  stew                       1
  10290  stewardship                4
  10291  stewart                    2
  10292  stick                     18
  10293  sticker                    2
  10294  sticki                     1
  10295  stickier                   4
  10296  stiff                      3
  10297  stifl                      2
  10298  stigmat                    1
  10299  sting                      1
  10300  stipend                    1
  10301  stipul                     4
  10302  stir                      14
  10303  stirrer                    1
  10304  stirrup                    1
  10305  stitch                     1
  10306  stock                      5
  10307  stocki                     1
  10308  stockpil                   5
  10309  stoical                    1
  10310  stojanov                   1
  10311  stojiljikov                1
  10312  stojiljkov                 3
  10313  stoke                      4
  10314  stoko                      1
  10315  stokov                     1
  10316  stole                     25
  10317  stolen                    13
  10318  stolt                      1
  10319  stomach                    7
  10320  stomp                      1
  10321  stone                     18
  10322  stonewal                   1
  10323  stoni                      3
  10324  stood                     66
  10325  stool                      2
  10326  stop                     176
  10327  stopgap                    1
  10328  stopov                     4
  10329  stoppag                    6
  10330  stopper                    1
  10331  storag                     3
  10332  store                     67
  10333  storei                     1
  10334  stori                    102
  10335  storm                     46
  10336  stormi                     2
  10337  storybook                  1
  10338  stosic                     2
  10339  stoutli                    1
  10340  stowag                     1
  10341  stoyan                     1
  10342  straddl                    1
  10343  strai                      2
  10344  straight                  25
  10345  straighten                 1
  10346  straightforward            4
  10347  strain                     4
  10348  strait                     2
  10349  straition                  1
  10350  strakov                    1
  10351  strand                     3
  10352  strang                     9
  10353  stranger                   6
  10354  strangl                    1
  10355  stranglehold               1
  10356  strap                      3
  10357  strateg                   18
  10358  strategeri                 1
  10359  strategi                  20
  10360  strategist                 7
  10361  straw                      1
  10362  streak                    16
  10363  stream                    15
  10364  streamlin                  1
  10365  stree                      1
  10366  street                   177
  10367  strength                  18
  10368  strengthen                27
  10369  strenuous                  1
  10370  stress                    33
  10371  stretch                   30
  10372  stretcher                 13
  10373  strewn                     3
  10374  stricken                  15
  10375  strickland                 2
  10376  strict                     5
  10377  stricter                   1
  10378  strictli                   7
  10379  strictur                   1
  10380  strident                   1
  10381  strife                     2
  10382  strike                    86
  10383  strikebound                5
  10384  strikebreak                3
  10385  striker                   13
  10386  string                    14
  10387  stringent                  2
  10388  stringfellow               5
  10389  strip                     24
  10390  stripe                     3
  10391  strive                     7
  10392  strode                     1
  10393  stroke                    10
  10394  stroll                     1
  10395  strom                      1
  10396  strong                    96
  10397  stronger                  17
  10398  strongest                 10
  10399  stronghold                27
  10400  strongli                  15
  10401  strongman                  8
  10402  strongmen                  1
  10403  strother                   1
  10404  strove                     1
  10405  struck                    45
  10406  structur                  19
  10407  struggl                   72
  10408  stuart                     1
  10409  stubb                      1
  10410  stubborn                   1
  10411  stubbornli                 1
  10412  stuck                      9
  10413  stud                       3
  10414  student                   54
  10415  studi                     38
  10416  studio                     3
  10417  stuf                       1
  10418  stuff                      6
  10419  stumbl                    13
  10420  stump                      1
  10421  stun                      40
  10422  stung                      3
  10423  stunningli                 2
  10424  stunt                      2
  10425  sturdi                     1
  10426  sturdier                   1
  10427  style                     33
  10428  stymi                      1
  10429  su                         4
  10430  suarez                     3
  10431  sub                       25
  10432  subcommitte                2
  10433  subcontin                  3
  10434  subdu                      7
  10435  subgroup                   1
  10436  subject                   39
  10437  subjug                     1
  10438  submachin                  2
  10439  submarin                  63
  10440  submerg                    5
  10441  submers                    3
  10442  submit                    25
  10443  subordin                   1
  10444  subpoena                   1
  10445  subscrib                   1
  10446  subsequ                    9
  10447  subsid                     4
  10448  subsidi                    1
  10449  subsidiari                 3
  10450  subsist                    1
  10451  substanc                   6
  10452  substandard                1
  10453  substanti                 17
  10454  substitut                  4
  10455  subterranean               1
  10456  subtext                    2
  10457  subtl                      1
  10458  subtocnga                  4
  10459  suburb                    26
  10460  suburban                  11
  10461  subvers                    3
  10462  subvert                    3
  10463  subwai                     1
  10464  succ                       1
  10465  succe                     20
  10466  succeed                   12
  10467  success                   63
  10468  successfulli              10
  10469  successor                 39
  10470  succumb                    2
  10471  suchitepequez              5
  10472  suck                       1
  10473  sudan                     11
  10474  sudanes                    1
  10475  sudden                    20
  10476  suddenli                  17
  10477  sue                        7
  10478  suez                      18
  10479  suffer                    96
  10480  suffici                   16
  10481  suffoc                     4
  10482  sugarcoat                  1
  10483  sugari                     1
  10484  suggest                   94
  10485  suharto                    1
  10486  suicid                   129
  10487  suit                      36
  10488  suitabl                    5
  10489  suitcas                    5
  10490  suitland                   1
  10491  sukiyaki                   1
  10492  sullivan                   3
  10493  sultan                     6
  10494  sultri                     1
  10495  sum                        2
  10496  summar                     2
  10497  summari                    4
  10498  summer                    23
  10499  summit                    32
  10500  summon                     6
  10501  sumner                     1
  10502  sun                       24
  10503  sunbak                     1
  10504  sunda                      1
  10505  sundai                   201
  10506  sunglass                   2
  10507  sunil                      1
  10508  sunk                       7
  10509  sunken                    25
  10510  sunni                      4
  10511  sunris                     1
  10512  sunset                     4
  10513  sunshin                    1
  10514  super                      3
  10515  superb                     2
  10516  superbl                    2
  10517  superfast                  1
  10518  superintend                1
  10519  superior                   4
  10520  supermarket                6
  10521  superpow                   2
  10522  superstructur              1
  10523  supervis                  12
  10524  supervisor                 6
  10525  supplement                 1
  10526  suppli                    55
  10527  support                  271
  10528  suppos                    19
  10529  supposedli                 4
  10530  supposingli                1
  10531  suppress                  13
  10532  suprem                    47
  10533  supremaci                  2
  10534  supremacist                1
  10535  surat                      3
  10536  sure                     105
  10537  surf                       2
  10538  surfac                    28
  10539  surg                      14
  10540  surgeon                    9
  10541  surgeri                   13
  10542  surgic                     3
  10543  surnia                     1
  10544  surpass                    5
  10545  surplu                     3
  10546  surpris                   52
  10547  surprisingli               4
  10548  surreal                    4
  10549  surrend                   34
  10550  surrog                     5
  10551  surround                  61
  10552  survei                    26
  10553  surveil                   17
  10554  surviv                   101
  10555  survivor                  92
  10556  susa                       1
  10557  susan                     35
  10558  susann                     1
  10559  suscept                    2
  10560  susi                       3
  10561  suspect                  142
  10562  suspend                   25
  10563  suspens                    9
  10564  suspici                   13
  10565  suspicion                 36
  10566  sustain                   13
  10567  susten                     1
  10568  sutyagin                   1
  10569  svilanov                   3
  10570  swab                       1
  10571  swagger                    1
  10572  swai                      17
  10573  swallow                    4
  10574  swami                      3
  10575  swamimarayan               1
  10576  swamp                      1
  10577  swan                       3
  10578  swap                       6
  10579  swarm                     16
  10580  swat                       2
  10581  swear                     11
  10582  sweat                      5
  10583  sweater                    3
  10584  sweati                     6
  10585  swede                      2
  10586  sweden                     5
  10587  sweep                     21
  10588  sweet                      3
  10589  sweeten                    1
  10590  sweetheart                 2
  10591  swell                     14
  10592  swelter                    1
  10593  swenchoni                  1
  10594  swept                     39
  10595  swift                     11
  10596  swiftli                    5
  10597  swim                       5
  10598  swing                      5
  10599  swipe                      1
  10600  swirl                      2
  10601  swiss                     17
  10602  switch                    20
  10603  switzerland               25
  10604  swivel                     1
  10605  swollen                    2
  10606  swoon                      1
  10607  swoop                      1
  10608  sword                      1
  10609  swore                      3
  10610  sworn                     29
  10611  swung                      1
  10612  sy                         2
  10613  sydnei                    10
  10614  sylvest                    1
  10615  sylvia                     1
  10616  symbiones                  4
  10617  symbol                    31
  10618  symington                  2
  10619  symmetri                   1
  10620  sympath                    2
  10621  sympathet                  8
  10622  sympathi                   8
  10623  symphoni                   1
  10624  symptom                    2
  10625  sync                       1
  10626  syndic                     1
  10627  synonym                    1
  10628  syria                      2
  10629  syrian                     8
  10630  syring                     1
  10631  systemat                   3
  10632  t                        445
  10633  tabara                     3
  10634  tabl                      18
  10635  tableau                    2
  10636  tableaux                   1
  10637  tablecloth                 2
  10638  tabloid                    2
  10639  tabul                      5
  10640  tacitli                    1
  10641  tackl                      4
  10642  tacoma                     1
  10643  tactic                    15
  10644  tactician                  2
  10645  tadic                      2
  10646  taffeta                    1
  10647  tag                        1
  10648  taha                       3
  10649  taigon                     1
  10650  tail                       1
  10651  tailor                    11
  10652  tailspin                   2
  10653  taint                     10
  10654  taiwan                     9
  10655  taiwanes                   2
  10656  taiz                       1
  10657  taken                    128
  10658  takeoff                    1
  10659  takeov                    15
  10660  taker                      1
  10661  takla                      1
  10662  talaja                     2
  10663  tale                       5
  10664  talent                     8
  10665  talib                      1
  10666  taliban                   15
  10667  talk                     157
  10668  talker                     1
  10669  talki                      1
  10670  tall                       8
  10671  tallahasse                 1
  10672  taller                     4
  10673  talli                     15
  10674  tamarin                    4
  10675  tame                       7
  10676  tamil                      1
  10677  tamme                      1
  10678  tampa                      4
  10679  tamper                     3
  10680  tan                        2
  10681  tanang                     1
  10682  tanasugarin                1
  10683  tanasugarn                 3
  10684  tandem                     1
  10685  tangl                     11
  10686  tanja                      1
  10687  tanjug                    13
  10688  tank                      26
  10689  tanker                     2
  10690  tant                       1
  10691  tantal                     1
  10692  tantamount                 1
  10693  tantrum                    1
  10694  tanugu                     1
  10695  tanzania                  37
  10696  tap                        9
  10697  tape                      20
  10698  tar                        2
  10699  tarawa                     2
  10700  tardi                      1
  10701  target                    67
  10702  tariff                     2
  10703  tariq                      2
  10704  tarmac                    12
  10705  tarnish                    2
  10706  tarp                       3
  10707  tarpaulin                  3
  10708  task                      43
  10709  tass                       5
  10710  tast                       5
  10711  tatter                     4
  10712  taunt                      1
  10713  tawdri                     1
  10714  tawfiq                     1
  10715  tax                       41
  10716  taxi                       6
  10717  taxpay                     2
  10718  taylor                     2
  10719  tdcj                      14
  10720  tea                        9
  10721  teach                      8
  10722  teacher                   16
  10723  team                     119
  10724  teammat                    2
  10725  tear                      72
  10726  tearga                     4
  10727  tech                      10
  10728  technic                   24
  10729  technician                15
  10730  techniqu                   4
  10731  technocrat                 1
  10732  technolog                 43
  10733  techsourc                  2
  10734  tecla                     11
  10735  ted                        3
  10736  teddi                      1
  10737  teem                       3
  10738  teen                      16
  10739  teenag                     4
  10740  teepl                      1
  10741  teeter                     2
  10742  teeth                      2
  10743  tefb                       1
  10744  tegla                      1
  10745  tekla                      2
  10746  tel                        4
  10747  telar                      1
  10748  telecommun                 2
  10749  teleconfer                 2
  10750  telegram                   1
  10751  telephon                  72
  10752  televis                  170
  10753  televisa                   1
  10754  televison                  1
  10755  tell                     108
  10756  teller                     7
  10757  tello                      2
  10758  tem                        1
  10759  temblor                   13
  10760  tempel                     1
  10761  temper                     4
  10762  temperatur                10
  10763  tempestu                   1
  10764  templ                      8
  10765  templat                    1
  10766  tempo                      1
  10767  temporari                 13
  10768  temporarili               10
  10769  tenabl                     1
  10770  tenac                      1
  10771  tenaci                     1
  10772  tenant                     3
  10773  tend                      11
  10774  tendenc                    4
  10775  tender                     4
  10776  tenet                      2
  10777  tenn                       8
  10778  tennesse                  11
  10779  tenni                     39
  10780  tens                      18
  10781  tension                   25
  10782  tent                      39
  10783  tentacl                    1
  10784  tenth                      4
  10785  tenur                      9
  10786  ter                        1
  10787  term                     126
  10788  termer                     2
  10789  termin                    15
  10790  tern                       1
  10791  terr                       1
  10792  terrain                    2
  10793  terrel                     1
  10794  terrenc                   12
  10795  terri                      6
  10796  terribl                   28
  10797  terribly                   1
  10798  terrif                     2
  10799  terrifi                    9
  10800  terrifng                   1
  10801  terrifyingli               1
  10802  territori                 22
  10803  terror                   104
  10804  terrorist                206
  10805  test                      42
  10806  testament                  2
  10807  testifi                   25
  10808  testili                    1
  10809  testimoni                 19
  10810  testu                      1
  10811  testud                     9
  10812  tethani                    1
  10813  tether                     2
  10814  tex                        1
  10815  texa                      98
  10816  text                       6
  10817  textbook                   1
  10818  textil                     4
  10819  tfor                       1
  10820  th                       111
  10821  thaan                      1
  10822  thabo                      3
  10823  thaci                      1
  10824  thadani                    1
  10825  thaerz                     1
  10826  thahn                      1
  10827  thailand                   2
  10828  thakkar                    4
  10829  thakur                     1
  10830  thanh                      2
  10831  thank                    117
  10832  thanksgiv                  2
  10833  thankyou                   1
  10834  thatcher                   1
  10835  thaul                      1
  10836  theater                    7
  10837  thee                       1
  10838  theft                      2
  10839  theme                      7
  10840  theodor                    2
  10841  theolog                    2
  10842  theoret                    3
  10843  theori                    29
  10844  theoriz                    4
  10845  thepaid                    1
  10846  therapi                    1
  10847  theresa                    1
  10848  thermomet                  2
  10849  thescap                    1
  10850  thesi                      1
  10851  thevenot                   2
  10852  thicker                    3
  10853  thief                      1
  10854  thiessen                   1
  10855  thiev                      6
  10856  thigh                      2
  10857  thing                    167
  10858  think                    227
  10859  thinker                    1
  10860  thinner                    1
  10861  thirdli                    1
  10862  thirteen                   3
  10863  thirti                    11
  10864  thirtysometh               1
  10865  thoma                     18
  10866  thompson                   4
  10867  thorbjoern                 2
  10868  thorbjorn                  1
  10869  thorn                      1
  10870  thornburgh                 1
  10871  thornel                    1
  10872  thorni                     1
  10873  thorough                   3
  10874  thoroughfar                3
  10875  thoroughli                 1
  10876  thought                  106
  10877  thousand                 156
  10878  thrash                     1
  10879  thread                     4
  10880  threadbar                  1
  10881  threat                   105
  10882  threatcon                  1
  10883  threaten                  46
  10884  threshold                  2
  10885  threw                     16
  10886  thrill                     5
  10887  thriller                   1
  10888  thrive                     6
  10889  throat                     5
  10890  throne                     2
  10891  throng                     6
  10892  throw                     17
  10893  throwback                  2
  10894  thrower                    1
  10895  thrown                    24
  10896  thrust                     3
  10897  thug                       5
  10898  thuggish                   2
  10899  thugocraci                 2
  10900  thumb                      6
  10901  thunder                    3
  10902  thunderbird                1
  10903  thurmond                   1
  10904  thursdai                 219
  10905  thuzz                      1
  10906  thwart                     5
  10907  ti                        78
  10908  tia                        2
  10909  tiananmen                  1
  10910  tibet                      2
  10911  tick                       3
  10912  ticket                    11
  10913  tidal                      2
  10914  tide                       7
  10915  tie                       27
  10916  tiebreak                  10
  10917  tien                       1
  10918  tiffani                    2
  10919  tight                     22
  10920  tighten                   11
  10921  tighter                    3
  10922  tightest                   2
  10923  tightli                    4
  10924  tijan                      3
  10925  tilak                      1
  10926  tile                       2
  10927  till                       5
  10928  tilt                       6
  10929  tim                       15
  10930  time                     493
  10931  timelin                    4
  10932  timet                      4
  10933  timid                      2
  10934  timism                     1
  10935  timo                       1
  10936  timocka                    1
  10937  timothi                    4
  10938  tin                        1
  10939  tini                      23
  10940  tinker                     1
  10941  tinkl                      1
  10942  tiot                       1
  10943  tip                       59
  10944  tipper                     2
  10945  tipster                    1
  10946  tire                      29
  10947  tireless                   1
  10948  tirelessli                 2
  10949  tirm                       2
  10950  titl                      50
  10951  titleist                   1
  10952  titlist                    2
  10953  tito                       6
  10954  tl                         1
  10955  tnt                        7
  10956  toadi                      1
  10957  toast                      3
  10958  toastst                    1
  10959  tobacco                    3
  10960  tod                        2
  10961  todai                    316
  10962  todd                      21
  10963  toddler                    3
  10964  toe                        5
  10965  togo                       1
  10966  tohouri                    1
  10967  toi                        4
  10968  toietnam                   1
  10969  toilet                     3
  10970  token                      2
  10971  tokov                      1
  10972  tokyo                     25
  10973  told                     277
  10974  toledo                    15
  10975  toler                     12
  10976  tolkach                    1
  10977  toll                      80
  10978  tolli                      1
  10979  tolstoi                    1
  10980  tom                       42
  10981  tomahawk                   6
  10982  tomato                     2
  10983  tomb                       1
  10984  tomic                      2
  10985  tomislav                   1
  10986  tommi                      9
  10987  tomorrow                  41
  10988  ton                       47
  10989  tone                      16
  10990  tong                       1
  10991  tongu                      9
  10992  toni                      34
  10993  tonig                      2
  10994  tonight                  104
  10995  tonugu                     1
  10996  took                     216
  10997  tool                      21
  10998  toothless                  1
  10999  topic                      1
  11000  topmost                    1
  11001  topolev                    2
  11002  toppl                     26
  11003  torch                     11
  11004  tore                      41
  11005  tori                       1
  11006  torment                   10
  11007  torn                       8
  11008  torpedo                   64
  11009  torr                       1
  11010  torricelli                 1
  11011  torso                      1
  11012  tortilla                   1
  11013  tortur                    14
  11014  toscap                     1
  11015  toss                      14
  11016  tossup                     3
  11017  total                     75
  11018  totalitarian               1
  11019  tote                       4
  11020  totter                     1
  11021  touch                     37
  11022  touchdown                  1
  11023  touchi                     2
  11024  tough                     33
  11025  toughen                    1
  11026  tougher                    2
  11027  toughest                   2
  11028  tour                      46
  11029  tourism                    1
  11030  tourist                   12
  11031  tournament                51
  11032  tout                       2
  11033  tow                       18
  11034  towel                      1
  11035  tower                     21
  11036  town                     115
  11037  townsend                   1
  11038  townspeopl                 2
  11039  trac                       1
  11040  trace                     13
  11041  tracei                     1
  11042  traci                      1
  11043  track                     47
  11044  trade                     72
  11045  trader                    11
  11046  tradit                    41
  11047  tradition                  4
  11048  traffic                   25
  11049  traffick                  22
  11050  tragedi                   48
  11051  tragic                    15
  11052  trai                       1
  11053  trail                     45
  11054  trailer                   13
  11055  train                     57
  11056  trainer                   14
  11057  traips                     1
  11058  trait                      1
  11059  traition                   1
  11060  traitor                    1
  11061  trajkov                    1
  11062  trampl                     2
  11063  tran                       7
  11064  trang                      1
  11065  tranquil                   6
  11066  transact                   6
  11067  transcend                  1
  11068  transcript                 6
  11069  transfer                  27
  11070  transform                  6
  11071  transit                   45
  11072  translat                  21
  11073  transmiss                  2
  11074  transmit                   1
  11075  transmitt                  1
  11076  transnat                   1
  11077  transpar                  13
  11078  transpir                   3
  11079  transport                 55
  11080  traor                      1
  11081  trap                      73
  11082  trash                     13
  11083  trauma                     7
  11084  traumat                    5
  11085  travail                    1
  11086  travel                    71
  11087  travelg                    1
  11088  travesti                   2
  11089  tread                      1
  11090  treason                    2
  11091  treasur                    5
  11092  treasuri                   2
  11093  treat                     39
  11094  treati                     7
  11095  treatment                 34
  11096  trebjesanin                1
  11097  tredwai                    1
  11098  tree                      13
  11099  treeless                   1
  11100  trek                       2
  11101  trembl                     1
  11102  tremend                    8
  11103  tremor                    23
  11104  trench                     2
  11105  trenchantli                1
  11106  trend                     17
  11107  trent                      7
  11108  tri                      118
  11109  triag                      1
  11110  trial                     82
  11111  triangl                    1
  11112  tribal                    10
  11113  tribe                      9
  11114  tribesmen                  1
  11115  tribespeopl                1
  11116  tribun                    30
  11117  tribut                    12
  11118  trichovich                 1
  11119  trick                     13
  11120  tricki                     6
  11121  trickl                     4
  11122  tricov                     1
  11123  trident                    1
  11124  trigger                   28
  11125  trillion                   2
  11126  trim                      12
  11127  trio                       1
  11128  trip                      83
  11129  tripl                      4
  11130  triplett                   1
  11131  tripoli                    1
  11132  tripp                      1
  11133  triumph                   15
  11134  trivedi                    1
  11135  troop                     67
  11136  trooper                    5
  11137  trophi                     3
  11138  tropic                     1
  11139  trot                       2
  11140  troubl                    64
  11141  troublemak                 1
  11142  troublesom                 2
  11143  trounc                     1
  11144  troup                      1
  11145  trove                      1
  11146  trty                       1
  11147  truce                      3
  11148  truck                     66
  11149  trucker                    2
  11150  truckload                  5
