  index  term                      df
    748  babkin                     6
    749  baboa                      1
    750  backa                      1
    751  backbo                     1
    752  backcourt                  1
    753  backdrop                   4
    754  backer                    14
    755  backfir                    5
    756  background                 4
    757  backhand                  14
    758  backho                     1
    759  backlash                   3
    760  backstop                   2
    761  backup                     2
    762  backward                   3
    763  backyard                   1
    764  bacon                     18
    765  bad                       39
    766  badawi                     1
    767  badg                       3
    768  badli                     39
    769  badrasen                   5
    770  baffl                      2
    771  bag                       14
    772  bagad                      1
    773  baggag                     1
    774  baghbel                    1
    775  baghdad                    2
    776  bahg                       5
    777  bahrain                   35
    778  bai                        8
    779  baijubahi                  2
    780  bail                       4
    781  bailei                     6
    782  baird                      1
    783  bairnt                     1
    784  bait                       1
    785  bakarec                    3
    786  bake                       2
    787  baken                      1
    788  baker                      5
    789  bakhshish                  1
    790  bakri                      5
    791  balanc                    21
    792  balawat                    1
    793  balcacer                   2
    794  balconi                   11
    795  bald                       1
    796  balint                     1
    797  balk                       4
    798  balkan                    25
    799  ball                      30
    800  ballard                    1
    801  ballast                    2
    802  ballena                    1
    803  ballist                    2
    804  ballo                      1
    805  balloon                    3
    806  ballot                    72
    807  ballroom                   2
    808  balonia                    1
    809  balsamo                    1
    810  baltimor                   3
    811  baltin                     1
    812  bamba                      3
    813  bambi                      1
    814  bamboo                     4
    815  bament                     1
    816  ban                       24
    817  banco                      1
    818  band                      11
    819  bandag                     8
    820  bandanna                   3
    821  bandit                     1
    822  bang                       7
    823  bangalor                   1
    824  bangaru                    3
    825  bangladesh                 5
    826  bank                      69
    827  banker                    10
    828  bankrupt                   5
    829  bankruptci                 4
    830  banner                     9
    831  bannon                     1
    832  banquet                    1
    833  baptist                    6
    834  bar                       54
    835  barak                      9
    836  barb                       4
    837  barbar                     2
    838  barbara                   24
    839  barber                     1
    840  barbershop                 1
    841  barcelona                  1
    842  bare                      46
    843  barefacedli                1
    844  barent                    36
    845  barg                       3
    846  bargain                    9
    847  bari                       1
    848  bark                       1
    849  barkina                    2
    850  barkolla                   1
    851  barkova                    3
    852  barna                      4
    853  barnei                     1
    854  barnstorm                  1
    855  barot                      1
    856  barov                      1
    857  barr                       2
    858  barrack                   35
    859  barrag                     2
    860  barrel                     2
    861  barrera                    2
    862  barri                      1
    863  barricad                  18
    864  barrier                   12
    865  bartlett                   1
    866  barua                      5
    867  base                     188
    868  basebal                    5
    869  baselin                   16
    870  basement                   1
    871  basher                     1
    872  bashraheel                 1
    873  bashrahel                  1
    874  basi                      15
    875  basic                     43
    876  basilica                   1
    877  bask                       2
    878  basket                     3
    879  basketbal                  1
    880  basset                     1
    881  bassiouni                  1
    882  bastion                    6
    883  batch                      1
    884  bath                       4
    885  bathroom                   3
    886  bathtub                    1
    887  batic                      2
    888  baton                      4
    889  battalion                  3
    890  batten                     1
    891  batter                     8
    892  batteri                    2
    893  battl                     78
    894  battlefield                4
    895  battleground               8
    896  bauman                     6
    897  bautista                   1
    898  bavaria                    1
    899  bazaar                     1
    900  bbc                       29
    901  beach                     17
    902  beachfront                 1
    903  bead                       1
    904  beal                       1
    905  beam                      14
    906  bean                       3
    907  bear                      23
    908  beard                     20
    909  bearer                     2
    910  beat                      79
    911  beaten                    31
    912  beater                     3
    913  beaumont                   1
    914  beauti                     6
    915  beaver                     1
    916  becausec                   1
    917  beci                       2
    918  becker                     1
    919  bed                       35
    920  bedanova                   2
    921  bedi                      12
    922  bedouin                    1
    923  bedroom                    6
    924  bedsheet                   1
    925  beef                       6
    926  beer                       2
    927  befit                      1
    928  befriend                   1
    929  befuddl                    1
    930  beg                        4
    931  began                    156
    932  beggar                     1
    933  begin                    151
    934  begun                     31
    935  behalf                     8
    936  behan                      1
    937  behari                     3
    938  behav                      9
    939  behavior                  11
    940  beholden                   3
    941  beij                       3
    942  beirut                     9
    943  bekki                      3
    944  belaru                     1
    945  belch                      1
    946  beleagu                    3
    947  belgian                    5
    948  belgium                    6
    949  belgrad                  100
    950  beli                       1
    951  belida                     3
    952  belief                    17
    953  believ                   292
    954  belittl                    1
    955  bell                       4
    956  belliger                   1
    957  belong                    31
    958  belov                      5
    959  belt                       8
    960  bema                       2
    961  bemoan                     1
    962  ben                        5
    963  bench                      4
    964  benchmark                  1
    965  bend                       2
    966  beneath                   31
    967  benefactor                 2
    968  benefici                   1
    969  beneficiari                1
    970  benefit                   17
    971  benevol                    7
    972  benign                     1
    973  benin                      8
    974  benito                     1
    975  benjamin                   2
    976  bennett                    1
    977  benni                      1
    978  bent                      13
    979  benton                     1
    980  bequeath                   1
    981  berat                      1
    982  bere                       1
    983  beresich                   1
    984  beretta                    1
    985  bergen                     1
    986  berger                    25
    987  berlin                     8
    988  bernstein                  2
    989  bershard                   1
    990  bershevski                 1
    991  berth                      2
    992  beschloss                  1
    993  beset                      2
    994  besieg                     4
    995  bespectacl                 2
    996  best                     101
    997  bet                        5
    998  beta                       8
    999  beth                       1
   1000  betrai                     2
   1001  betray                     2
   1002  betrisia                   1
   1003  better                   119
   1004  bevan                      1
   1005  beveneari                  1
   1006  bewild                     1
   1007  bhaba                      2
   1008  bhachau                    4
   1009  bhagat                     1
   1010  bhakta                     1
   1011  bharatiya                  3
   1012  bharpi                     3
   1013  bhaskar                    5
   1014  bhat                       1
   1015  bhatt                      1
   1016  bhavesh                    1
   1017  bhowmik                    1
   1018  bhug                       1
   1019  bhuj                      33
   1020  bia                        1
   1021  biafran                    2
   1022  biarritz                   3
   1023  bias                       8
   1024  bibl                       4
   1025  biblic                     1
   1026  bicker                     3
   1027  bicycl                     5
   1028  bid                       50
   1029  bidanora                   1
   1030  big                       76
   1031  bigger                     8
   1032  biggest                   39
   1033  bigot                      1
   1034  bihari                    10
   1035  bilater                    8
   1036  bilingu                    1
   1037  billboard                  2
   1038  billet                     1
   1039  billi                      4
   1040  billion                   59
   1041  billionair                 9
   1042  billow                    13
   1043  biltera                    1
   1044  bimal                      2
   1045  bin                       87
   1046  bind                       5
   1047  bindra                     3
   1048  bingaman                   2
   1049  bingo                      1
   1050  binocular                  5
